index,id,comments
Laniejo2u,cvgzi9,My First Devacut!&&&
Jsi87,cvf8cp,"That's a skin condition...hard to say psoriasis or dermatitis, etc. Seek medical attention they'll get squared away"
SmittenAmor,cvf8cp,"100% aloe vera juice + a few drops of tea tree oil in a spray bottle. Spray daily. Diluted apple cider vinegar after shampooing, pour massage for a few minutes then rinse."
bdd4,cvf8cp,"r/psoriasis
Ask your doctor for some Clobetasol"
cilantroxlime,cvf8cp,"Diluted apple cider vinegar or tea tree oil (not used together) are two star ingredients that come to mind that may help.
Also, Dermae makes a Scalp Relief shampoo and conditioner line that contains a “therapeutic Psorzema Herbal Blend” and it really really helped me with persistent fungal-related scalp itchiness."
datcougarassassin,cvf8cp,"For your body? Shea butter all day. For your hair, I think you should go to a dermatologist but you also need some more moisturizing products. Curls Dynasty has some good cocoa shampoo, check them out."
moburkes,cvf8cp,You might have seborrheic dermatitis. Try a carrier oil mixed with neem oil.
myrmewmew,cvf8cp,"Might be psoriasis. There are some steroid creams you can get from the doctor that can get it under control. ""As I am"" has a dry and itchy scalp line. I like the cowash and the scalp oil has salicylic acid in it that is used to treat psoriasis."
stushkaiser,cvf8cp,Help plz&&&&&&Any brand suggestions for the neem oil?&&&❤️❤️❤️
Disturbia8081,cvdwfh,"Spiral rod mistake&&&I watched a few videos on doing spiral rods for the first time.  My 4c hair has gotten longer I figured why not try something new. I bought 1 pack of spiral rods thinking it was enough and it wasn't. My wash day is tommorrow and I want to try this. So is there anything I can do to still do the spiral rod and maybe half my head looks different ,or forgo the rods til I can get more?"
JadedMis,cvbe2k,There’s not much you can do right now except to keep it moisturized. Also maybe change to an anti dandruff shampoo like neutrogena t gel shampoo. When it grows out a couple inches do some mini twists and leave in for a week. Finger detangle instead of using a comb. Find a good deep conditioner. Don’t mess with your hair too much and it tends to grow.
chrisissues,cvbe2k,"Before and after of combing hair out after my shower and shampoo/conditioner. Anyone have advice on product to stimulate growth? Im trying to grow it out but haven't since 2013, little lost.&&&&&&*Block of text warning:*

So im 22, never really let my hair grow out since I was 17 and had to for a few months. Bored of the usual buzzcut, so I'm growing it out but feel I could be doing way better than how I am now because I feel the growth has slowed down considerably after my last haircut. 

I currently wash and condition my hair with Carols Daughters products once a week, regular black vanilla shampoo and hair milk conditioner. If I shower in the morning, I use Carol's Daughter Hair Milk 'Curl defining butter'. If I shower at night, I put in Creme of Nature Argan Oil and a little doo gro. I do this part at night because it tends to leak, so I put on a durag and go to bed. Every other day I use the carols daughter stuff to keep my hair moisturized. Im told my hairs very soft, so I guess im sorta doing something right.

Im not sure if I am doing fine or if I am over/under doing it. I cant use olive oil products, which doesnt help me much, and struggle with dandruff the longer and thicker it gets so thats also a problem (hasnt come back yet!). Im also trying and considering dreads, so thats another reason im growing it out. Not all the way around, just up top like a high top. 

So if anyone got advice on products and what I can do to style it in the meantime, please help me cause im sorta clueless 😅."
datcougarassassin,cvbe2k,"I recommend Mielle Organics, Taliah Waajid, Curls Dynasty and Soultanicals."
jwash1894,cvbe2k,"I use peppermint oil and a olive oil based moisturizer on my hair every day. I also use a moisturizer infused with honey and that helps. 

Also, eating well does wonders too."
096x,cuzr1x,What is my curl pattern?&&&&&&Is there a difference between coily and kinky?
Abstractt_,cuzr1x,"4b I'm guessing?

Why the actual fuck am I getting downvoted"
UniquelyElle97,cuzr1x,Mine is pretty similar if not the same but 4b
kvhjo,cuzr1x,I’d say coily 4b
Abstractt_,cuzbgf,"My short hair is always frizzy at the ends, makes it look kinda straight-ish. I'm fine with it because it significantly cuts down on my shrinkage when its frizzed"
CoffeeB4Talkie,cuzbgf,"It could be the products that you're using. I learned the hard way that my hair hates coconut oil. I can use products that contain it, but not a lot. 

It makes my hair hard. So it'll be like oily hay and then frizzy as all get out. 

I know there are people that have the same issue with glycerin and/or aloe."
CurlsNeedLove,cuzbgf,"I’m in the same boat, my friend. Applying all your products on soaking wet hair is supposed to help prevent frizz, but I already use so much water when detangling.  So I’ve decided to just accept it."
Storytella2016,cuzbgf,"My experience is that conditioning and care can change dryness, strength and brittleness, but that frizz is a styling issue. It doesn’t sound like you use any styling creams or gels to get it under control?"
