index,id,comments
LoneWolfkaito,njoqlm,Any nostalgic kids show like scooby doo is good(mystery incorporated)
blackpino,njoqlm,The Parkers
eastbaymom,njoqlm,Ginny and Georgia on Netflix
uhyeaokay,njoqlm,"Getting my hair braided tomorrow. What are some shows I can watch without feeling judged&&&Getting my hair braided and really not looking forward to it. 

What are some good shows on Netflix/Hulu/Disney+ I can watch that kills some time?? Preferably something that is not NSFW cuz I know whoever’s gonna do it will be watching along with me lol (I wear ear buds but leave subs on) cuz I’ve definitely caught a stylist peepin what I’m watchin 🤣"
Blaque-Cat,njkz88,How often do you get trims? Do you detangle while wet with conditioner?
Frequencytoturnuon,njkz88,"Omg, never ever detangle your hair when it's dry. I can hear the snapping now. Soaking wet and soaking with conditioner is the only way I detangle. I have for 4b/c hair that is past the middle of my back. Also, you should probably trim you hair more often. I use Aussie moist to detangle. Works like a charm."
PikaBooSquirrel,njkz88,"Three main concerns. 


1. The length of your hair as a child may be inflated. I hear people say things like ""my hair was down to my butt as a kid"". Keep in mind that you were like 3 feet tall. 12 inches of hair on a kid is gonna look a lot longer than the equivalent amount on an adult.


2. Older, elderly, hair ends. They need more tlc. Everyone has a different routine, but something that is usually universal is focusing product on your ends rather than hair. Unless we are talking about shampoo. Many people with longer hair only wash the roots and the run off cleans the ends, as shampoo, regardless of sulfate content, is going to be stripping. Be more careful when combing the ends as well, the regular, satin/silk pillow covering or headscarf when lying down, protect ends whenever possible.

3. Do not, under any circumstance, detangle on dry, curly hair. Always wet and with some sort of slippery product. Combing dry hair is recommended only for those with straight hair. 

So, how do you tell if your hair has reached a plateau? Well, if you're still getting inches, even if it is slower, then we can guess that you're losing mostly due to breakage. A real plateau would mean that your hair is appearing to stay the same length. Hair IS always growing, but the growth phase + rate, will make it look like it has stopped. Ie. Your hair growth is 6 inches a year and the hair growth phase lasts 4 years. Your hair will at max get to 24 inches. Of course trims will probably leave you at 20-22 inches. And that's assuming you have almost completely eliminated breakage. Nothing will change the length of your growth phase and growth rate besides hormones (birth control, pregnancy, etc) and chemicals (minoxidil etc) in a true plateau. ***Protective styling and tlc will help if it's not a true plateau. Experiment with what works for you."
my-weird-reality,njkz88,"hair growth plateau:(&&&so i cut my hair roughly 3 years ago. as in i had a buzz cut, and since then it’s passed collar bone length, but not yet mid back length. when i first cut it, it was growing without me even trying, but now, it’s probably grown about 3 inches in the past year

something i’ve noticed is that every time i comb my hair, or take out my braids it breaks from the ends. i don’t know what’s causing this. before i did my big chop, my hair didn’t grow past a certain length. and it’s not a genetic thing bc when i was a kid and my mother took care of my hair, it grew pretty long but as an adult it’s just not the same.

what am i doing wrong?&&&i trim my hair 1x a year and i detangle it dry😶 now i realise how that sounds but i’ve been doing that my whole life, i’ll try it with conditioner though!"
Curious_Learning,njh858,Rockin’ it.
ShondaGives,njh858,🥰
airl_,njh858,Color is popping .
apfeltheapfel,njh858,Spiffy. I love it!
atot20,njh858,That color is ON POINT!
char0310,njh858,Wash n go and spf&&&&&&Thanks
cottonmouth94,njh858,Gorgeous
head_MD,njh858,Love!! Protect that beautiful skin from harmful UVs!
staysuperclean,njh858,Beautiful hair and skin
BlazersNBA,njep4e,Yeah
Polpolo1,njep4e,Is that a taper ?&&&
PullFires,njep4e,"""Just fuck my shit up"""
almondmilkbrat,njep4e,It looks like it was done badly? But idk much about barber techniques so
lying_truther,njep4e,"Thats not a taper, thats a fucked up haircut"
trojantooter,njep4e,That makes no sense
coisas_pra_vc,njcx87,"Ecuador: Immigrant barbershop business pushes ahead during Covid-19 and crisis,&&&"
coisas_pra_vc,njcffk,"String-shave, grooming technique for a clean, all natural finish&&&[removed]"
coisas_pra_vc,njcepu,"String-shave, grooming technique for a clean, all natural finish&&&"
Loolo007,njb3pc,"You will be fine, may I suggest you use some Tylenol."
Siebzhen,njb3pc,Seven packs?? Dang.
cookie_monster_911,njb3pc,"1. I think you’re hair will be fine.

2. I recommend taking some Tylenol and waiting a day or 2 to see if it still hurts or you get used to the weight. I personally get used to the weight after getting braids done but that’s just me. If it doesn’t get better in contact with the braider to get a refund or if you feel up to it redone

3. It’s ridiculous that it took 12 hours to install in the first place. I’d stick with your og hair braider. I don’t think there is any way to fix it without taking them out entirely and redoing it with less hair"
dramatic_gasp19,njb3pc,"I suggest doing as you said: take them out and make the parts bigger (considering it's in an area where no one will see the parts). If it's still heavy, I think taking them out with be the best option."
