index,id,comments
HelloPandaHello,80a6dq,"Check youtube, there’s a whole bunch of vids on growing edges out there. Recently i came across a video of a woman trying to grow her edges back by shaving everything off. It’s a bit extreme, but it worked for her.

"
Jassitaa,80a6dq,"Help growing back my edges?&&&So the other day while doing my hair, I noticed my left temple was noticeably thin. The right side is kinda thin as well, I remember my mother saying I never had full edges to begin with,  but the left side is bad.     I suppose my go to hairstyle of a bun has turned its back on me lol.  So I’ve been doing massages with JBCO, and I was wondering if anyone else has some tips?  &&&Do they say it helps with growth? Because at this point the loss already happened lol&&&Really ? I wonder how it would work in combination with the JBCO&&&I’ve heard about it, but what is it exactly?"
bluejuiselove,80a6dq,I have heard doing tea rinses with black or green tea will help with stopping hair loss. Not sure if I works though. Was going to try myself
helpme913,80a6dq,I've been using wild growth oil and it's been helping 
lavasca,80a6dq,What aboit rogaine?
thejaseffect,80a6dq,"Oh god, I don’t think I could ever.  Like what do you do while it’s growing back? "
Catwalk-Ave,803c7d,How to dye your hair with HENNA&&&[removed]
jamlesstoast,8033j3,"Crochet braid/braids/faux locks question&&&How do you keep the perimeter of your hair neat?? Maybe it's just my hair that does but **After about 1-2 weeks,**the perimeter of my head looks messy and I have to take the style out. I youtubed stuff before but can't seem to find a solution. I wear a scarf or sleep on silk pillow case. Even before attempting to wash my hair(my hair needs to be washed weekly due to scalp issues), specifically the front my hair looks messy. No gel or edge control seems to the trick lol any suggestions. Note: The perimeter of my hair is coarser and tighter(curl pattern) than the rest.

Edit: spelling "
runchick13,8033j3,I’ve yet to try crochet braids but I’ve watched several videos. Most seem to recommend doing individual box braids on the perimeter instead of the crochet. 
Estrella37,800ce3,Using this too. Love it.
friendlyforreal,800ce3,The [ACV bar](https://www.amazon.com/Wildland-Botanicals-ACV-Shampoo-Bar/dp/B0759ZNGJS/) from Wildlands.  My derm said basically the same thing.  Working for me.
itchyscalpthrowaway,800ce3,"My dermatologist said natural shampoos might help. Need suggestions.&&&My scalp needs help.  I have these little red bumps that are like little zits (sorry to be gross). My dermatologist said it might be the chemicals used in commercial shampoos.  So I'm looking for natural shampoo suggestions so I can see if this is my problem. I just want my scalp normal.
"
ladyAnder,800ce3,"Castile soap or African black soap makes for a decent shampoo. You can add whatever oil and essential oil you like to make them more moisturizing/beneficial. 

However, what I use to wash my hair most of the time is clay. Clay mixed with apple cider vinegar is like the best thing I've found to wash my hair with. If you have sensitive skin, I recommend Rhassoul clay or Moroccan red clay. While bentonite clay is wonderful, it might be a bit much for sensitive skin as I've found.  "
lavasca,800ce3,Try Bentonite clay.
