index,id,comments
CristiJ411,glt7vj,"I like to use Curls blueberry bliss leave in.  It's pretty light weight on my hair that is easily weighed down, and you only need a little bit."
OhSoSchwifty,glt7vj,I like the Giovanni Weightless Moisture leave in.
ZachOdinson,glt7vj,What’s a good silicone free leave in conditioner for 2c/3a hair? Preferably not a spray&&&&&&Thank you!
mind_thedrop,glt7vj,"This! I literally asked for 4 bottles of this for Christmas because this stuff just works. OP, I also has 2c-3a hair and this has been a constant in my hair routine for 3 years."
GlowInTheDarkSpaces,glt2ae,It sounds like your hair is really porous. I think a protein treatment would seal up the cuticle a bit which should help with dry time.
Nana24_95,glt2ae,"Hair never dries!&&&I showered yesterday and put my hair in twists hoping it will dry with curls. Woke up and my hair still wet. Went about my day and 24 hours later my hair is still wet! 

I untwisted it and used blow drier. I have been trying to stay away from heat but my hair is driving me crazy. 

What can help dry hair faster without creating frizz?"
SeaHareKingdom,glt2ae,The same thing happens to me! What made it work was Letting my hair dry almost entirely before twisting it.
glitterabyss,glt2ae,"This happens to me all the time, i have super thick coarse hair, there's pretty much no way i've found to stop it. You could try smaller twists? I've slept on pin curls a bunch of times and the only way i've found to work is wait until your hair is just damp, then put it up in smaller sections than most tutorials say to do."
NikiVes,glsydz,I am just starting this cgm. My hair is similar to yours:) well hopefully it will be again once I get this cgm process:/ There’s so much to do! I Am so new to this. Should I not wash my hair at night?
enigmatic-dr-scully,glsydz,Are.. are you Moana 😍
shypye,glsydz,I was scrolling through and my 4 year old pointed and asked if you were Moana ❤
usr28064212,glsydz,"A little frizzy after picking out some leaves and sticks due to an impromptu photoshoot on the ground..&&&&&&aw that’s the cutest thing ever :,)&&&I wish I had a before picture! I shampoo once or twice per week with cantu shea butter shampoo, and cowash daily with TRESemme curl hydrating conditioner. I wrap my hair up in a towel while getting out of the shower for a minute or two, and paddle brush starting at the ends. Then I rake Cantu Wave Whip Curling Mousse throughout my hair, and scrunch to regain my curls. Air dry!&&&I personally don’t like washing my hair at night simply for the fact that I put it up or in a braid, and it takes forever to dry that way. If i bathe at night i’ll wear a shower cap or take a bath! If i absolutely have to wash it at night after a long day, I’ll put some coconut oil for moisture and braid it loosely so it doesn’t tangle while i’m asleep. 

When i’m planning on styling it for the day I always cowash (or at least wet it completely, especially when i washed it the previous night) beforehand because my hair is doomed for frizz if i try anything while it’s dry."
adamdoev92,glsv6x,"I sometimes model for my roommates photography.&&&&&&My hair routine is a apple cider vinegar wash twice a week, using bad and bougue shampoo twice a week (depends) and then finishing with a leave in conditioner."
DumpsterRaccoons,glsb4g,No advice but god I wish I had your curl pattern
Jessachelle,glsb4g,Embrace it! Your hair is super beautiful.
RepublicOfNope,glsb4g,"I had the same problem!

The easiest solution is this: when your hair is still wet, like water dripping from it wet, split into two parts, add leave in conditioner. Rake is through the hair with your hands and use praying hands method as well. If it's straight, it's fine. Then you can apply your mousse the same way. Use more product rather than less.

Once that's done, I personally find that putting Biosilk hair oil in my hair helps me tame my frizz. It's not CG, bit it's the only thing that works for me. I put it right after my leave in conditioner, but before gel/mousse.

Then when all the product is there, and your hair is straight, flip upside down, take the towel and gently scrunch up to form the curls. Once your hair is close to your head squeeze out the water, all the while being gentle. I do this about 5-6 times, then I plot for 20-30 minutes with the towel, and then I air dry.

Diffusing makes it frizzy for me, even with gel.

Good luck!"
avandermay,glsb4g,"Your hair looks similar to mine in curl type and texture and I found that when I used the shea moisture shampoo, my hair was super frizzy. I started using Aveeno Fresh Greens Blend Shampoo which is more of a ""low poo"" and it got rid of so much frizz. I think it was just too much product build up on my fine strands."
cytowrecknologist,glsb4g,"I have a couple questions that might help.

When are you putting in the gel/mousse? I've been finding that putting it in before I towel dry my hair yields a more even application than after. (My routine: rinse conditioner out with my head flipped forward, squish-ro-condish Cantu Curl Activator cream on the ends, prayer-hands in some Garnier Fructis Curl Construct mousse, scrunch out excess water, turbie towel that shizz. Air dry in my sleep. LOL at the ease, volume for days.)

And, on that note, you're using a microfiber towel but how are you drying it? Any sort of friction is going to cause frizz, so try plopping or using a turbie towel if you're not.

I agree, honestly I love your hair here and I've come to embrace that curls are always going to be at least a little frizzy and it's okay. What's funny is some of my worst hair days have yielded the most compliments!"
elrojosombrero,glsb4g,Your face is so precious
iama-canadian-ehma,glsb4g,"I agree with the other poster, your hair is GORGEOUS."
mind_thedrop,glsb4g,"For what it's worth, I think your hair looks gorgeous and I wouldn't change a thing! You mention you blow dry it, do you blow dry until it's completely dry? I believe you're supposed to dry to maybe 80% (give or take depending on your hair) and then let the rest air dry. Also, a denman brush could encourage clumping and would keep the hair in curls rather than frizz out."
mushlove96,glsb4g,Do you sleep with the towel still on your head?
myhubbytheantichrist,glsb4g,"MONTH 1 - Looking for frizz advice!&&&&&&Thank you! I usually towel dry my hair and then put the mousse in. So that may help me out to do it the other way! And I usually just tie the towel up on my head to dry it. I tried the plopping method but really could tell the difference so I stopped. Lol there’s so many little things you can do that might dramatically change your hair, it’s crazy!!&&&Current Routine: 
Wash and condition with Shea Moisture Retention shampoo and conditioner then dry with a microfiber towel until damp. Then I add Dry Bar Southern Belle Mousse all over and scrunch. Flip my hair upside down and slowly dry with hair dryer on the low setting. 

My hair does not do well with gels so far. I have tried kinky curly gel and a few of Shea moistures coconut products. My hair didn’t like those at all.

Looking to cut down on the frizz and make my hair look softer. If I don’t use a mousse my hair has zero volume. I think I maybe have a protein overload problem. I used to be vegetarian and my hair never had split ends or looked dead. Now that I’ve switched back to eating meat my hair is awful! It’s dry and brittle. Any advice? 



Also if anyone knows a good mousse that has a better rating on EWG please send my way!! I’m trying to use products with little to no harmful products in them.&&&Thank you for the advice!! I’m so happy I have so many new things to try for all these comments!! This community is the best. Do you have a leave in conditioner that you would recommend?&&&Awesome!! I will order it and try it out!! Thank you for the suggestion&&&I usually make my own avocado mask every two weeks. Do you have any masks you would recommend? I think adding another type of deep conditioning mask once a week might help.&&&Thank you!!! I’m just starting my curly journey so that gives me an extra confidence boost to keep going 🥰&&&Thank you 🥰&&&Thank you!! I’m gonna pick up that mousse on my next target run!"
