index,id,comments
FlyinPurplePartyPony,qp4hw6,"My 2a hair is very high porosity, fragile, dry, super thick and extremely greasy - overwhelmed!&&&I've tried to start CGM, but have found my hair is too greasy for sulfate free products every time I've tried to use them. If i go a day without shampooing I look like Severus Snape! It's also such high porosity that it takes 6-12 hours to dry but frizzes up if I so much as think about a hairdryer. Defusing seems to be the worst culprit for this. I work early hours and because of my schedule I have no choice but to wash my hair right before bed and sleep on it wet. I end up just brushing my janky-ass waves out into a puffball and pulling it into a ponytail every single day in frustration! Haven't tried gels or mousses yet, but even normal conditioning during my shower weighs down my hair so I'm hesitant to use additional products. Any suggestions or should I resign myself to daily ponytails?&&&I might try that out but with my hair and workout routine every day is wash day 🥴🙃. I do sleep on a satin pillowcase and have found that it makes a very modest difference."
insaneintheusername,qp4hw6,"Wow, about 85% of your post applies to my hair and I am also at a bit of a loss of where to go with it at the moment. I look forward to seeing if anyone has suggestions or sharing anything that works for me."
teashoesandhair,qp4hw6,"Try using a gel which gives you a really good cast and then diffusing; the gel should help with the frizz you usually get from diffusing. You can also sleep on the gel cast if you use a satin hair wrap or satin pillow case! It won't be perfect, but that's pretty much what I do; like you, I work stupid hours and don't have time to air dry. I do try and schedule my routine so I can get a good wash day on my day off, though!

As for going sulphate-free, I think that wavy hair is a bit more forgiving than curly hair in that department, so if your hair just prefers sulphates, then I don't think you should worry too much about using them."
theoracleofdreams,qp4hw6,"My hair is low density, but my super fine, high porosity hair that was breaking, prone to thinning, very dry and frizzy, but would get greasy with ANY product other than gel. But I started to really adapt the CGM that best fit my hair.

* My hair needs a good sulfate wash 2x a week or it's a greasy mess. I do a clarifying wash (Suave daily clarifying) on my first wash day of the week and a softer wash (Monday Volume Shampoo) on the second wash day. Clarifying day is on Sunday, and regular wash is on Wednesday, leaving my greasiest hair for Friday (being a casual day for me at work) and Saturday.
* Try a protein deep conditioner, my greasy hair started to go away as I was using this. What I can figure is, my high porosity hair needed the protein to accommodate something my body wasn't giving it, once I started adding this to my wash week, my greasy hair went away. I always use the protein deep conditioner AFTER my clarifying was day.
* Then my regular routine, Plop for 10 minutes in a microfiber towel, scrunch out any extra water, Curls Blueberry Bliss leave in conditioner, brush to distribute, Shea Moisture Hibiscus and Coconut curl smoothie (minimal amounts), brush to distribute, spritz hair with some water, and then glaze with Aussie Instant Freeze gel, then wet brush my hair in sections to set the curls, scrunch some of the flatter clumps and then hover diffuse my hair (I avoid touching my hair with ANYTHING, including the diffuser) until I'm about 80% dry. I have it on low speed high heat and hover my roots first (my low density hair cannot be wet or I lose hair) and then try to get my hair as dry as possible to create and set the gel cast. Once I have a good gel cast from the diffuser, I then air dry the rest of the night before bed.
* I wear a satin lined bonnet to bed and sleep on a satin pillow case because I toss and turn at night and my bonnet comes off  every now and then, at least my pillow case is there to help.
* I also do not use dry shampoo as it dries out my roots causing frizz.

Also, I work in a donor facing position for a Tier 1 Research Library, I see A TON OF DONORS AND GOVERNMENT OFFICIALS, I have to look presentable as well, and believe me, no one notices when your hair is greasy. But that is also why I adapted my clarifying days to Sundays and Wednesdays. It pushes my greasiest days to the end of the week and my best days are day 2 and 3 hair before I need to wash again, and since its saturday, I can give my hair a break and let it stew in its juices before I clarify again on sunday. On Wednesdays, if my hair is especially bad, I can put it up in a curly bun and no one the wiser.

Also Adding:

I saw below that you work out everyday, so I live in SE Texas, and during the summer, I have to wash my hair daily due to sweat and grime from walking in this humid heat, but I stuck to the clarifying schedule above. On my off wash days, I would rinse my roots out under cool water (My hair has been in humid heat all day, they need a break from the hot) over my entire head, like I was shampooing but just with gentle friction and water and I'd squish my hair on the lengths just to move water through and rinse out any sweat that may have accumulated. Then I'd follow up with a good conditioner (I'm enjoying Garnier Fructis Damage Repairing Treat Conditioner + Papaya Extract) rake or brush in root to tip and Squish to condish to rehydrate my hair and the damage I received by the elements. I'll leave that in my hair as I finish my wash routine, rinse out, and then follow the routine above.

ETA: I tried to make sure that all my styling products are water soluble as well to help battle the greasiness during the summer. That way when I rinse out, I'm also rinsing out most of the products as well."
MsSureFire,qozn8t,"Amazing and beautiful! So easy to see how happy and healthy your hair is!

Congrats!"
guess_this_,qozn8t,"1 year wavy!!! 🎉🥳 When I began this journey last year I was super frustrated and convinced it was gonna fail but I’ve come a long way. Enjoy some pictures of my first time air drying my hair with my hair today. Thanks to this sub for all the help, from a serial lurker.&&&"
teashoesandhair,qozn8t,What a difference! I'm glad it's working so well for you!
BlinkerBeforeBrake,qoz5rx,"It’s assuring seeing another trich here! If you stopped pulling, do you have advice for the rest of us? 

I’ve been super worried about my bad habit damaging my hair beyond repair. This gives me hope."
No-Difficulty182,qoz5rx,"I like your look.
Perfect color and full body."
Sci_Twi_007,qoz5rx,The t word in wondering what that even is. I've masses of wavy hair and need to know everything.
SinistralLeanings,qoz5rx,"Your hair looks amazing, you are beautiful! I never would have thought you had trich if you hadn't mentioned it. Fellow sufferer here who is proud of you!!! Xo"
_un1ty,qoz5rx,"Not a trich but dermatillomania sufferer here so I get it..

 and you are right, screw trich, your hair looks amazing!"
cstschmerz,qoz5rx,"Your hair looks amazing and totally my hair goals! As a fellow sufferer, this gives me so much hope too. I tried to maintain my waves for years but the long and wavy strands triggers me a lot. Recently had a pixie and starting all over again."
hopeless_and_in_love,qoz5rx,You are absolutely stunning by the way
jbei9981,qoz5rx,Your hair looks gorgeous! Any tips for overcoming the trichotillomania?
jubjub9876a,qoz5rx,I have no advice as I struggle caring for my own hair over night. But I wanted to say you have absolutely beautiful hair and I think that your hair cut really suits you!
laviyu,qoz5rx,"Just wanted to say your hair looks amazing and congrats on your progress. I hope things get better, as a fellow trich sufferer"
lemmonbelles,qoz5rx,off topic but i love your jacket!
lirae666,qoz5rx,I love your hair! You look amazing!
manduhg,qoz5rx,Gorgeous and jealous!
miaret,qoz5rx,Your Beverly Crusher vibes are strong.
pheeshes,qoz5rx,"It looks so soft, bouncy and healthy! Good work!"
plutoniumwhisky,qoz5rx,"Lmao at your flair. 

Your hair looks so good!"
princesscatnip,qoz5rx,"Your hair is lovely and looks very healthy! As someone who has struggled with trichotillomania, your post made me very happy."
teashoesandhair,qoz5rx,"It feels like I've finally made friends with my hair... take that, trichotillomania&&&&&&Thank you very much! :)&&&Thank you! I hope you're doing OK on your own trich journey; I know what an absolute pain it can be. I weirdly find that taking more care of my hair and nurturing the waves helps me to resist my trich urges quite a lot (except for when the gel is in...)&&&I like to think Shakespeare himself was a wavy gal. Thank you!&&&Thank you ever so! I hope you're doing great!&&&Thank you! I know, I'm so amazed that I actually have hair now, ha. 16 year old me would not have believed it.&&&I haven't stopped pulling, but I've definitely got it more under control. It sounds a bit wanky, but the best thing I found was just being much nicer to myself about it, and accepting that I'm always going to pull and it's not a personal failure on my part. I genuinely found that once I stopped aiming to be pull-free, my pulling really lessened. I'm not saying that'll work for everyone, but the path of trichotillomania acceptance was a good one for me!&&&Haha, the greatest compliment of all! I wish I were quite so accomplished.&&&Thank you! Honestly, I just found that accepting my status as a perpetual trichster and trying to incorporate that fact into my life rather than try and stop made it much less of a problem. I still pull quite a bit, but I have a very que sera, sera attitude about it, ha.&&&Hair type: oh, who knows? A mixture of fine blonde hair and very coarse dark brown hair. 2A-2B, I think? High density but variable on that front due to trichotillomania. 

My routine:

Wash once or twice a week with a very un-CGM friendly medicated shampoo, then condition with Noughty Wave Hello conditioner by squishing it in. Do the praying hands application like a good atheist with the Noughty curl defining taming cream (I usually use the Uncle Funky's Daughter Good Hair styling cream, but I've run out and it's expensive!) and scrunch, then apply Ecoslay Orange Marmalade the same way and scrunch. Pixie diffuse until it's about 80-90% dry, air dry the rest, and then SOTC with the Garnier Ultimate Blends hair oil. In this photo, I'd also deep conditioned with the Noughty To the Rescue deep conditioner before applying the curl cream and Ecoslay.

I've yet to find a method of refreshing that works particularly well and my hair always looks a bit like hot garbage after sleeping on it, so I'm very open to suggestions on that front; using water just makes it frizzy!&&&Haha, thank you! It's the silk robe I wear to lounge about my house and pretend that I'm a Victorian aesthete.&&&Thank you ever so! Good luck with the pixie cut - I found that getting my hair cut really does help a lot.&&&Thank you! Pls do not be jealous though, this was a particularly good hair day and I do usually look quite a lot more like I'd be at home in a swamp.&&&Thank you muchly!&&&Trichotillomania - it's a condition whereby the sufferer compulsively pulls out their own hair. It's a bit like nail-biting, only much more annoying to deal with!"
somethingyelling,qoyuex,"Do I Need Protein?&&&I have super fine, thick 2a/b waves (mostly unmaintained right now, just Shea Moisture Coconut and Hibiscus shampoo and conditioner and almond oil as needed, I live in the desert right now so I don't have to worry too much about the frizz that comes with not styling). Lately though, I think I need more protein or moisture or something. I have a decent amount of split ends, but the main problem is the back ends of my hair. They're super frizzy and tangly, and feel almost like steel wool when I try and finger comb through them. I don't think moisture is the problem because half the time it feels like my hair is way too oiled down from my products anyways (that's another problem for another post). Could this be due to lack of protein?"
BBQTofuJerky,qowgh1,"I feel like ""memory"" is more to do with actual heat damage. Opt for the blow dryer instead of the flat iron and only do it once in a while.  As long as your hair is HEALTHY it'll be fine"
